1,2,3,4,5,6,7,8,9,11,38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,2,,,,,,,,,
,,,CLASIFICACION,,,,8,8,,38
CODIGO,CP,FA,LINEA,CATEGORIA,TP,CASA / CCIAL,PRODUCTO,PRESENTACIÓN,IVA,PRECIO
2FSVC-17,BLUE TECH CE,45860,NV,FERTIRRIEGO,EX,SAVITOL,BLUE TECH CE,BOLSA X 2 KG,0,453744.00000000006
2FSVC-05,BLUE TECH CE,45436,NV,FERTIRRIEGO,EX,SAVITOL,BLUE TECH CE,BOLSA X 5 KG,0,780904.68480000005
1OIBC-08,BLUSH CE,46185,NV,FOLIAR,DT,IBICOL,BLUSH CE,BIDON X 1 LT,0,184883.20000000001
1OIBC-09,BLUSH CE,46185,NV,FOLIAR,DT,IBICOL,BLUSH CE,GALON X 5 LT,0,906752
3EALT-06,BOQUILLA +  FILTRO ALTERTEC X 1 UND,45776,TN,FUMIGACION,DB,ALTERTEC,BOQUILLA +  FILTRO ALTERTEC X 1 UND,UNIDAD,0.19,49459.199999999997
1DSVC-01,BORDEL CROP CS,45436,BIO,DESINFECTANTE,EX,SAVITOL,BORDEL CROP CS,BIDON X 1 LT,0,64120.32
1AAGS-01,BOROLIQ,45017,NV,MICROS,AL,COLINAGRO,BOROLIQ ,BIDON X 1 LT,0,31996.832024312942
1AMCF-02,BOROSOL,45052,NV,MICROS,DT,MICROFERTISA,BOROSOL ,BOLSA X 1 KG,0.19,16887.71616
1FITR-19,BOTRILEX,44977,PC,FUNGICIDA,EX,INTEROC,BOTRILEX,BIDON X 1 LT,0,117867.71961425999
1FAMY-02,"BOTTOM 62,5 WG",46122,PC,FUNGICIDA,EX,AGROCHEMY,"BOTTOM 62,5 WG",BOLSA X 1 KG,0,480296.25000000006
1FAMY-03,"BOTTOM 62,5 WG",46122,PC,FUNGICIDA,EX,AGROCHEMY,"BOTTOM 62,5 WG",SOBRE X 300 GR,0,144088.875
1CBSF-01,BREAK THRU SC,45052,PC,COADYUVANTE,AL,BASF,BREAK THRU SC,BIDON X 1 LT,0.19,126999.03724999999
1ITCQ-13,BRIGHT 90 SP ,45120,PC,INSECTICIDA,DT,TECNOQUIMICAS,BRIGHT 90 SP ,BOLSA X 1 KG,0,116901.43676842106
1BSEI-01,BRYOSEI,45986,NV,FERTILIZANTE,EX,SEIPASA,BRYOSEI,BIDON X 1 LT,0,81483.180992640002
1AACK-01,BTMITE PK,44312,BIO,FOLIAR,DT,ACKER LEBEN,BTMITE PK,BIDON X 1 LT,0,87071.25
1AACK-02,BTMITE PK,44312,BIO,FOLIAR,DT,ACKER LEBEN,BTMITE PK,GALON X 4 LT,0,330870.75
1ISHA-04, BUPROFENSH 25 SC ,46001,PC,INSECTICIDA,DT,SHARDA,BUPROFENSH 25,FRASCO X 250 CC,0,30321.270432000001
1ISHA-01, BUPROFENSH 25 SC ,46001,PC,INSECTICIDA,DB,SHARDA,BUPROFENSH 25 SC X 1 LT,BIDON X 1 LT,0,117029.13436800001
