semana_iso,anio,producto,grupo,bloque,plantas,tallos_estimados,calidad_dato,origen
36,2026,Dianthus Green Ball,Green Ball,4B (media cama),SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
36,2026,Dusty New Look,Dusty Miller,5,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
36,2026,Matricaria Vegmo,Matricaria,5,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
36,2026,Ammi Majus,Ammi,3EXT,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
37,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Campanula Pink,Campanula,4C,3014,1005,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Strawflower Apricot Peach,Strawflower,3EXT,994,994,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Cristata Clubs Cocktail,Celosia cristata,4A (media cama),1978,989,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Lisianthus Blanco,Lisianthus,3B,2800,933,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Strawflower Bright Rose,Strawflower,3EXT,891,891,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Strawflower Silvery Rose,Strawflower,3EXT,800,800,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Strawflower Cranberry Rose,Strawflower,3EXT,790,790,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Cristata Enda Rose,Celosia cristata,3A + media 4A,4264,711,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Cristata Reprise Orange,Celosia cristata,4A,693,693,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,2000,667,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Campanula White,Campanula,3C+4C,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Opus Appleblossom,Boca de Dragón,4B,1644,548,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Salmon Pink,Gomphrena,4B,730,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Opus Fresh,Boca de Dragón,3A,1096,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Quis Pink,Gomphrena,2,447,224,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
37,2026,Dianthus Green Ball,Green Ball,4B (media cama),SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
37,2026,Dusty New Look,Dusty Miller,5,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
37,2026,Ammi Majus,Ammi,3EXT,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
37,2026,Dianthus Sweet Cherry,Dianthus,4A,1918,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,CAMPO (ya sembrado)
38,2026,Dusty New Look,Dusty Miller,,1464,3904,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Campanula Pink,Campanula,4C,3014,1005,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Cristata Clubs Cocktail,Celosia cristata,4A (media cama),1978,989,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Lisianthus Blanco,Lisianthus,3B,2800,933,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,QIS Carmine,Gomphrena,5,1728,864,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Strawflower Cranberry Rose,Strawflower,3EXT,790,790,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,2000,667,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Campanula White,Campanula,3C+4C,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Ammi Majus,Ammi,6ext,1644,616,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Opus Appleblossom,Boca de Dragón,4B,1644,548,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Salmon Pink,Gomphrena,4B,730,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Opus Fresh,Boca de Dragón,3A,1096,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Lisianthus Blanco,Lisianthus,3B,1042,347,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Quis Pink,Gomphrena,2,447,224,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
38,2026,Dianthus Green Ball,Green Ball,4B (media cama),SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
38,2026,Ammi Majus,Ammi,3EXT,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
38,2026,Dianthus Sweet Cherry,Dianthus,4A,1918,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,CAMPO (ya sembrado)
38,2026,Dianthus Sweet Cherry,Carthamus,4A,1900,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,CAMPO (ya sembrado)
39,2026,Dusty New Look,Dusty Miller,,1464,3904,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Lisianthus Blanco,Lisianthus,3B,2800,933,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,QIS Carmine,Gomphrena,5,1728,864,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Strawflower Cranberry Rose,Strawflower,3EXT,790,790,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Ammi Majus,Ammi,6ext,1644,616,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Opus Appleblossom,Boca de Dragón,4B,1644,548,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Salmon Pink,Gomphrena,4B,730,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Opus Fresh,Boca de Dragón,3A,1096,365,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Lisianthus Blanco,Lisianthus,3B,1042,347,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Opus White Fresh,Boca de Dragón,4A,822,274,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Quis Pink,Gomphrena,2,447,224,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
39,2026,Dianthus Sweet Cherry,Carthamus,4A,1900,SIN_DATO,sin tallos-planta en ciclos_variedad.csv,CAMPO (ya sembrado)
40,2026,Dusty New Look,Dusty Miller,,1464,3904,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,Lisianthus Blanco,Lisianthus,3B,2800,933,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,QIS Carmine,Gomphrena,5,1728,864,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,QIS Carmine,Gomphrena,5,1662,831,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,Quis Pink,Gomphrena,4A y 4B y 2,1508,754,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
40,2026,Snapdragon Monaco Dark Pink,Boca de Dragón,4B+3B,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
