,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Ball,Campanula Champion Pink,Rosa,,3000,11/12,51,3A,MARZO,11,,"Sem 9 ya comienzan a aperturar mas enanas de lo normal, en semana 12 aun muchos tallos por aperturar, semana 16 aun los ultimos tallos",Campanula Pink,,,Cerrada,,,,
,Ball,Green ball punky ball,Verde musgo,,1792,12/12,51,3B,MARZO,14,,"Buenisimos tallos en semana 16, en semana 20 ya quedan tallos mas pequenos, ya la semana que viene la sacamos",Dianthus Green Ball,,,Cerrada,,,,
,Ball,Snapdragon Potomac Early White ,Blanco puro,,1440,11/12,51,3A,FEBRERO,10,,"Empezaron en semana 8, terminaron en semana 11",Opus Fresh,,,Cerrada,,,,
,Ball,Snapdragon Potomac Dark Orange,Naranja sunset,,1728,11/12,51,3A,FEBRERO,11,,"Empezará en semana 9, terminaron en semana 12",Monaco Orange,,,Cerrada,,,,
,DCB,Celosía Lavly,Fucsia cereza,,1792,,52,4B,MARZO,12,,Se quedaron enanas,Cristata Reprise Velvet,,,Cerrada,,,,
,DCB,Celosia Verda Green,Verde limón,,1792,,52,3B,MARZO,12,,Se quedaron enanas | Sem27-28 cosechando pero con síntomas de botritis. Aún hay cabezas engordando en campo. No se han sacado.,Cristata Verda Green,,,Cerrada,,,,
,DCB,Celosias Dreams,Mix pastel · verde · coral · salmón,,896,,52,4B,MARZO,28,,"Todavia no maduran en la 12. Falta 1 a 2 semanas, comienza cosecha semana 14, excelente semana 15 ya en 16 podriamos pelar, lo sacamos en la 18 | Sem28 flores maduras. Arranca cosecha.",Dreams Mix,,,Cerrada,,,,
,Ball,Campánula Campana Pink,Rosa,,200,,52,3B,MARZO,12,,,Campanula Pink,,,Cerrada,,,,
,DCB,Nigella Miss Jekyll Pink,,,1600,,1,3C,MARZO,12,,"Apenas formando botones, Ya en semana 16 empezamos a vender y carritos, en la 18 aun queda por aperturar, en semana 19 pelamos todo algunas habian sacado semillas pero para poder tener los pods seria haber esperado una semana mas. La sacamos en la 20",Nigella Miss Jekyll Pink,,,Cerrada,,,,
,Ball,Dusty Miller New Look,Plateado azulado · hoja grande,,288,,1,3A,MAYO,21,,"Estoy esperando a madres para sacarlo, se quedo ENANO",Dusty New Look,,,Cerrada,,,,
,DCB,Gomphrenas Quis Pink,Lila claro,,200,,1,4A,ABRIL,16,,"No las hemos cortado sera que las dejo a madres? Estan pequenas, LAS USAMOS TODAS EN MADRES y se quedaron cortas en cantidad obviamente, salieron en semana 19",Quis Pink,,,Cerrada,,,,
,DCB,Statice Forever Silver y Quis Apricot,Blanco,,704,,1,5,ABRIL,16,,"Cosechando desde la 15 alguito,en semana 20 tienen mucha botrytis y las bases estan muy feas. Sera que la apricot es inviable de sembrar?, semana 21 cosechamos algo bonito pero persiste botrytis, ya en sem 24 son un cementerio, las vamos asacar",Forever Silver,,,Cerrada,,,,
,Ball,Snapdragon Potomac Early White,Blanco puro,,1152,,2,4B,MARZO,12,,"Cosechando en la 15,16 ya esta lisa para pelar",Opus Fresh,,,Cerrada,,,,
,Ball,Snapdragon Calima Pink,Rosa,,864,,2,4B,MARZO,13,,Mas bonita que la Potomac,Cannes Pink,,,Cerrada,,,,
,Ball,Carthamus Zanzíbar,Vino intenso,,2000,,2,4B,MAYO,16,,"Semana 14, ya tiene boton, debemos hacer pinch/ Empieza cosecha en semana 16! En semana 18 ya vemos mucha botrytis, aestamos estirando la cosecha por madres, pero lo ideal seria pelar ya esta semana. En semana 19 ya todo estaba marron. Calcular la ventana de cosecha maximo para la 18.",Dianthus Sweet Cherry,,,Cerrada,,,,
,DCB,Snapdragon Lilac y Red Dreams,Lavanda claro,,1792,,2,4B,ABRIL,14,,"Semana 13 empezamos cosecha, en semana 15 no hay mas lavender y muy pocos red",Cannes Lavender,,,Cerrada,,,,
,DCB,Brianthus Hilverda,Vino · fucsia bicolor,,1850,,2,3A,MAYO MADRES,13,,"La variedad Tsar empezo a dar tallos en semana 12, ya cosechando en semana 13. Final de semana 13 los Tsar super abiertos. En semana 16 quedan tallos de repele. No los saco esperando por madres, En madres sem 19 sacamos lo que pudimos pero ya eran tallos mas delgados y cortos. ",Brianthus Jolly,,,Cerrada,,,,
,DCB,Celosias Asian Garden,Vino tinto,,600 aprox,,3,2,ABRIL,15,,"Estan desde la 15 pero esperando salir de las dreams primero cosechando en la 16, esta semana sale",Cristata Indian Summer,,,Cerrada,,,,
,DCB,Amarantos,Verde lima,,200 aprox,,3,3A,MARZO,12,,Aun sin formar espiga,Green Tails,,,Cerrada,,,,
,Ball,Snapdragon Opus Fresh,Blanco puro,,1728,,3,MINI,MARZO,13,,"Semana 14 casi no aperturan, semana 15 y 16 cosechando, los saco en la 16, malos tallos en el mini.",Opus Fresh,,,Cerrada,,,,
,Ball,Matricarias,Blanco con centro amarillo,,1152,,3,3A,ABRIL,14,,"Empezando cosecha en semana 14, en semana 15 la pelamos, fue perfecto, y ahora comenzaremos con la segunda floracion del 3A arriba",Matricaria Vegmo,,,Cerrada,,,,
,Ball,Campanulas Champion 2 White,Blanco puro,,1800,,3,MINI,ABRIL,15,,"Comenzanron a aperturar unas pocas en las 13, cosecha mala, 16 aun esperando aperturas, en 18 aun por aperturar, los sacamos en la 19",Campanula White,,,Cerrada,,,,
,Ball,Campanula Campana White,Blanco puro,,200,,4,MINI,ABRIL?,16,,,Campanula White,,,Cerrada,,,,
,DCB,Gomphrenas Quis Pink,Lila claro,,,,4,3B,MAYO,19,,,Quis Pink,,,Cerrada,,,,
,Ball,Snapdragon Calima Pink,Rosa,,1440,,4,4A,ABRIL,16,,,Cannes Pink,,,Cerrada,,,,
,Ball,Snapdragon Potomac early pink ,Blanco rosado pastel,,288,,4,4A,ABRIL,15,,,Potomac Appleblossom,,,Cerrada,,,,
,Ball,Campanula Pink,Rosa,,1200,,4,MINI,ABRIL,14,,,Campanula Pink,,,Cerrada,,,,
,DCB,Dahlias,,,100,,5,2,ABRIL,16,,"Empezaron en la 15, semana 21 floracion pero mildeo persistente, insectos y mildeo semana 24. Las dahlias nuevas del 1 estan espectacularmente florecidas en semana 29 y 30, pero estan llenas de pulgones. | Dalias Linda's Baby (ball, esqueje Colombia). Seteadas completamente sem29 por mildeo. Próxima cosecha TBD post-rebrote.",Dalia Ball Linda's Baby,,,Activa,,,,
,Andres,Zinnia Aurora,Amarillo tostado · naranja · coral,,889,,6,5,MAYO,18,24,"Primeras flores para centros en la 15, en la 16 ya tienen buen tamano y comenzamos cosecha de balde diario. En semana 19 y 20 seguimos cosechando buenos tallos, un balde diario. Semana 21 cosecha wow aun, sem 22 idem, las sacamos en semana 24 para sembrar dusty. aun estaban produciendo! Sem24: Crecimiento espectacular sin pinch. Paleta intensos difícil de combinar. Corte tardío detectado — usar wiggle test y centro cerrado. Diabrotica activa Inv 4B — bomba emergencia 13/06.Primeras flores para centros en la 15, en la 16 ya tienen buen tamano y comenzamos cosecha de balde diario. En semana 19 y 20 seguimos cosechando buenos tallos, un balde diario. Semana 21 cosecha wow aun, sem 22 idem, las sacamos en semana 24 para sembrar dusty. aun estaban produciendo! | Sem28 muchísima producción.",Zinnia Aurora,,,Cerrada,,,,
,Andres,Zinnia Ballerina,Rosado pálido · salmón suave,,484,,6,5,MAYO,18,24,Sem24: Favorita. Sin pinch — ramifica sola en Inv 4. Cabezas grandes rosado pastel. Forma chirosa o plana según temperatura nocturna. Daño insecto en pétalos. Candidata a aumentar próximo ciclo. | Sem28 muchísima producción.,Zinnia Ballerina,,,Cerrada,,,,
,Andres,Zinnia Jazzy Mix,Amarillo tostado · naranja · coral,,198,,6,5,MAYO,18,24,"Primeras flores para centros en la 15. Cosechamos tallos limdos para madres, me encanta para jardin toques mas no para abajo en cultivo. \\\",Zinnia Aurora,,,Cerrada,,,,
,Andres,Celosias Lavly,Fucsia cereza,,2082,,6,4,MADRES,18,,Induccion floral en semana 11,Cristata Reprise Velvet,,,Cerrada,,,,
,Andres,Celosias Indian Summer,Vino tinto,,1800,,6,4,MADRES,18,19,"En semana 18 apenas sacando crestas, faltan al menos 2 semanas de engorde, Cosechamos tallos buenisimos en semana 19, y hubiesemos podido extender y engordar hasta la 20, pero los usamos en madres. Combina lindo con rosado claro solamente. Con otros colores oscurece el boueuqet.",Cristata Indian Summer,,,Cerrada,,,,
,Andres,Celosias Shimmer,Amarillo · salmón · rosa,,2490,,6,5,MADRES,18,21,"Semana 18 aun falta por desarrollar plumas, cosechamos lo ue pudimos en la 19 y 20, pero no fueron buenos tallos como en cosechas anteriores. Puede ser por la induccion floral/elongacion? Semana 21 seguimos cosechando un balde pero ya sacaremos estas camas esta semana",Shimmer Mix,,,Cerrada,,,,
,Andres,Celosias Dreams,Mix pastel · verde · coral · salmón,,350,,6,5,MADRES,28,21,Lo poquito que habia lo sacamos en semana 19 | Sem28 flores maduras. Arranca cosecha.,Dreams Mix,,,Cerrada,,,,
